round,accuracy,macro_f1,eval_loss,round_time,client_train_time,communication_cost_MB,trainable_params,total_params,model_name,dataset_name,setting,num_clients,local_epochs,partition_type,best_metric_so_far,patience_counter,is_new_best,client_id,num_samples,train_loss
1,0.5091743119266054,0.3373860182370821,0.8876737536640342,116.82356786727905,9.609592914581299,2.3090362548828125,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,sst2,fedavg_tinybert_lora,5,1,dirichlet_noniid_alpha_0.5,0.7545871559633027,0,True,0,5627,0.43823574101266033
1,0.4908256880733945,0.3292307692307692,1.3332395652018556,116.82356786727905,19.782208681106567,2.3090362548828125,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,sst2,fedavg_tinybert_lora,5,1,dirichlet_noniid_alpha_0.5,0.7545871559633027,0,True,1,12326,0.2426260014004315
1,0.5091743119266054,0.3373860182370821,0.687772977242776,116.82356786727905,9.328628063201904,2.3090362548828125,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,sst2,fedavg_tinybert_lora,5,1,dirichlet_noniid_alpha_0.5,0.7545871559633027,0,True,2,5584,0.5269193020796025
1,0.8463302752293578,0.8457818604160068,0.3689561546395678,116.82356786727905,65.09679818153381,2.3090362548828125,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,sst2,fedavg_tinybert_lora,5,1,dirichlet_noniid_alpha_0.5,0.7545871559633027,0,True,3,39709,0.411715689869708
1,0.5091743119266054,0.3373860182370821,0.8065227554478777,116.82356786727905,6.234608888626099,2.3090362548828125,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,sst2,fedavg_tinybert_lora,5,1,dirichlet_noniid_alpha_0.5,0.7545871559633027,0,True,4,4103,0.47543569252370715
2,0.6399082568807339,0.5814024595326766,0.7990890282009719,117.18278741836548,9.459932088851929,2.3090362548828125,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,sst2,fedavg_tinybert_lora,5,1,dirichlet_noniid_alpha_0.5,0.8314220183486238,0,True,0,5627,0.19620662110804538
2,0.4908256880733945,0.3292307692307692,1.9179389323663274,117.18278741836548,20.429198503494263,2.3090362548828125,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,sst2,fedavg_tinybert_lora,5,1,dirichlet_noniid_alpha_0.5,0.8314220183486238,0,True,1,12326,0.10416191629732988
2,0.7878440366972477,0.7799658737054309,0.5114911269704137,117.18278741836548,8.331907749176025,2.3090362548828125,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,sst2,fedavg_tinybert_lora,5,1,dirichlet_noniid_alpha_0.5,0.8314220183486238,0,True,2,5584,0.312529271516554
2,0.8577981651376146,0.8574351834272093,0.3480053128452476,117.18278741836548,65.04814767837524,2.3090362548828125,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,sst2,fedavg_tinybert_lora,5,1,dirichlet_noniid_alpha_0.5,0.8314220183486238,0,True,3,39709,0.3551385185884791
2,0.5791284403669725,0.48110639277624556,0.899618831249552,117.18278741836548,7.146955728530884,2.3090362548828125,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,sst2,fedavg_tinybert_lora,5,1,dirichlet_noniid_alpha_0.5,0.8314220183486238,0,True,4,4103,0.17483269107645383
3,0.6972477064220184,0.6640809679735242,0.7607772744030034,115.55236625671387,8.396331310272217,2.3090362548828125,60530,14411404,huawei-noah/TinyBERT_General_4L_312D,sst2,fedavg_tinybert_lora,5,1,dirichlet_noniid_alpha_0.5,0.8463302752293578,0,True,0,5627,0.15855211387344548
